network,station,channel,location,latitude,longitude,elevation
AK,BAGL,BHZ,,60.489601,-142.091507,1470.0
AK,BARK,BHZ,,60.403,-142.493103,1389.6
AK,BARN,BHZ,,61.059502,-141.662201,1689.0
AK,BCP,BHZ,,59.9534,-139.6369,421.8
AK,CTG,BHZ,,60.9649,-141.3401,1507.9
AK,CYK,BHZ,,60.082298,-142.487198,23.0
AK,GRNC,BHZ,,60.731499,-141.755798,2116.0
AK,ISLE,BHZ,,60.6024,-142.3406,1425.0
AK,KIAG,BHZ,,60.9231,-142.360504,1752.2
AK,KULT,BHZ,,60.247398,-142.723404,1006.0
AK,LOGN,BHZ,,60.824001,-141.004807,1663.1
AK,MESA,BHZ,,60.178501,-141.9505,1919.0
AK,MESA,BHZ,,60.1782,-141.949799,1907.0
AK,PIN,BHZ,,60.095901,-140.252502,975.0
AK,RKAV,BHZ,,60.2994,-141.347794,1647.0
AK,SAMH,BHZ,,60.129398,-140.782806,1140.0
AK,SSP,BHZ,,60.1791,-142.8388,472.0
AK,TABL,BHZ,,60.439899,-141.144302,2050.0
AK,TGL,BHZ,,60.754101,-142.829193,1266.4
AK,WAX,BHZ,,60.448002,-142.852905,1003.0
AK,YAH,BHZ,,60.358299,-141.751007,2125.0
