network,station,channel,location,latitude,longitude,elevation
AK,BAL,BHZ,,61.035999,-142.346207,1318.0
AK,BARN,BHZ,,61.059502,-141.662201,1689.0
AK,CRQ,BHZ,,60.7523,-143.092606,1392.3
AK,CTG,BHZ,,60.9649,-141.3401,1507.9
AK,GLB,BHZ,,61.4417,-143.8123,854.9
AK,GRNC,BHZ,,60.731499,-141.755798,2116.0
AK,ISLE,BHZ,,60.6024,-142.3406,1425.0
AK,KIAG,BHZ,,60.9231,-142.360504,1752.2
AK,MCAR,BHZ,,61.3836,-143.024,447.0
AK,PAX,BHZ,,62.969898,-145.469894,1150.0
AK,PTPK,BHZ,,61.187099,-142.467194,1892.6
AK,TGL,BHZ,,60.754101,-142.829193,1266.4
